date,volume_score,breadth_score,turnover_score,amihud_score,spread_score,uzli
2016-11-01,1.0,0.0103448275862068,0.0004646834592273,1.0,1.0,0.5521851363820481
2016-11-02,0.0498518351085562,0.0034482758620689,0.00025,1.0,1.0,0.3132151139495528
2016-11-03,0.1384020760591743,0.0068965517241379,0.0001977104874446,1.0,1.0,0.33602925698148234
2016-11-04,0.4216432153793914,0.0068965517241379,0.0005132308634089,1.0,1.0,0.4069184219055276
2016-11-07,0.6762921992584968,0.0034482758620689,0.0018200964954348,1.0,1.0,0.47021772911089665
2016-11-08,3.0,0.0275862068965517,0.0002747978645965,0.9999999999895036,0.9986159709899852,1.0554475379423587
2016-11-09,0.4991620518227856,0.0103448275862068,0.0007335291711345,1.0,1.0,0.4270428607657214
2016-11-10,0.2657627912275118,0.0103448275862068,0.0028464875014502,1.0,1.0,0.36922128519948183
2016-11-11,0.2285297919279785,0.0172413793103448,0.0003536054808178,0.99999999854433,0.9998522713283268,0.36065435205596674
2016-11-14,1.6193887896928052,0.0172413793103448,0.0012319294574704,1.0,1.0,0.7086034556496378
2016-11-15,1.3171285081865152,0.0137931034482758,0.0025435665073665,1.0,1.0,0.6326766393631256
2016-11-16,3.0,0.0206896551724137,0.0026028303640473,1.0,1.0,1.0547886386254948
2016-11-17,0.4069002037236163,0.0137931034482758,0.2503422324715716,1.0,1.0,0.4670692297384521
2016-11-18,0.053777874982743,0.0103448275862068,0.0024528970081066,1.0,1.0,0.3161266585149538
2016-11-21,0.6872716420685914,0.0068965517241379,0.0044669333084812,1.0,1.0,0.4743139541890957
2016-11-22,0.280307242172419,0.0137931034482758,0.0021233473474735,1.0,0.9998327619366169,0.37334954426329
2016-11-23,3.0,0.0275862068965517,0.0046950497813737,1.0,1.0,1.0566910038246538
2016-11-24,0.0310981238414999,0.0068965517241379,0.0001963770190353,1.0,1.0,0.30920293555996137
2016-11-25,0.0094871846750848,0.0172413793103448,0.0013868482700561,1.0,1.0,0.3061667840983542
2016-11-28,0.0809562993727498,0.0206896551724137,0.0027712755282711,1.0,1.0,0.325069824759738
2016-11-29,0.0163468079777834,0.0137931034482758,0.0001533567770772,1.0,1.0,0.30688366187837035
2016-11-30,0.0225724634273539,0.0068965517241379,0.000291420910979,1.0,1.0,0.3070952814294108
2016-12-01,0.0369865019581341,0.0103448275862068,0.0002221411262831,1.0,1.0,0.3113711262883457
2016-12-02,0.04349457178364,0.0103448275862068,0.0068214697267584,0.9999999850078168,0.9967087218869994,0.31431884508510427
2016-12-05,0.2087940200172652,0.0137931034482758,0.0038535267074761,1.0,1.0,0.35592050737084047
2016-12-06,0.2796813442881306,0.0172413793103448,0.02022861208424,1.0,1.0,0.37842576495516156
2016-12-07,0.1294162681976701,0.0172413793103448,0.0003962308147685,1.0,1.0,0.3359014006151786
2016-12-09,0.0344784142277596,0.0103448275862068,0.3335867634059997,1.0,1.0,0.3940852599256812
2016-12-12,0.0307049002818098,0.0137931034482758,0.0023341858795865,1.0,1.0,0.31101839223000427
2016-12-13,0.0365597221422906,0.0137931034482758,0.0002597890804135,0.9999999927578216,0.9915254237288136,0.3111160394197769
2016-12-14,0.1501673883920973,0.0241379310344827,0.2248951181841432,1.0,0.9984832213996736,0.39844153499092405
2016-12-15,0.2611659195227996,0.0172413793103448,0.0007699457029755,1.0,1.0,0.3689322421685127
2016-12-16,0.5688398323787051,0.0172413793103448,0.0063341793076405,1.0,1.0,0.44724177878365534
2016-12-19,0.2889109422713478,0.0172413793103448,0.0038795460438753,1.0,1.0,0.3766458979408748
2016-12-20,0.1369717971172774,0.0172413793103448,0.003539457444175,1.0,1.0,0.33857608950243206
2016-12-21,0.6735406766965192,0.0206896551724137,0.0142565596165491,0.9999998117728488,0.9967346550852144,0.47576066797584105
2016-12-22,0.1711031466142617,0.0241379310344827,0.0003852067539622,1.0,1.0,0.34769967454895256
2016-12-23,0.0061162318264477,0.0137931034482758,0.0002268576052292,1.0,0.9943504420779072,0.30377943725536516
