date,volume_score,breadth_score,turnover_score,amihud_score,spread_score
2016-11-01,1.0,0.010344827586206896,0.0004646834592273817,1.0,1.0
2016-11-02,0.049851835108556286,0.0034482758620689655,0.00025,1.0,1.0
2016-11-03,0.13840207605917432,0.006896551724137931,0.00019771048744460855,1.0,1.0
2016-11-04,0.4216432153793914,0.006896551724137931,0.0005132308634089216,1.0,1.0
2016-11-07,0.6762921992584968,0.0034482758620689655,0.0018200964954348223,1.0,1.0
2016-11-08,3.0,0.027586206896551724,0.00027479786459658217,0.9999999999895035,0.9986159709899853
2016-11-09,0.49916205182278567,0.010344827586206896,0.0007335291711345138,1.0,1.0
2016-11-10,0.2657627912275118,0.010344827586206896,0.002846487501450268,1.0,1.0
2016-11-11,0.2285297919279785,0.017241379310344827,0.0003536054808178931,0.99999999854433,0.9998522713283269
2016-11-14,1.6193887896928052,0.017241379310344827,0.0012319294574704074,1.0,1.0
2016-11-15,1.3171285081865152,0.013793103448275862,0.0025435665073665816,1.0,1.0
2016-11-16,3.0,0.020689655172413793,0.002602830364047332,1.0,1.0
2016-11-17,0.40690020372361635,0.013793103448275862,0.25034223247157167,1.0,1.0
2016-11-18,0.053777874982743085,0.010344827586206896,0.0024528970081066884,1.0,1.0
2016-11-21,0.6872716420685914,0.006896551724137931,0.004466933308481221,1.0,1.0
2016-11-22,0.28030724217241904,0.013793103448275862,0.002123347347473502,1.0,0.9998327619366167
2016-11-23,3.0,0.027586206896551724,0.0046950497813737025,1.0,1.0
2016-11-24,0.03109812384149992,0.006896551724137931,0.00019637701903532347,1.0,1.0
2016-11-25,0.009487184675084838,0.017241379310344827,0.0013868482700561233,1.0,1.0
2016-11-28,0.08095629937274981,0.020689655172413793,0.0027712755282711995,1.0,1.0
2016-11-29,0.016346807977783435,0.013793103448275862,0.00015335677707721508,1.0,1.0
2016-11-30,0.022572463427353903,0.006896551724137931,0.00029142091097901214,1.0,1.0
2016-12-01,0.036986501958134174,0.010344827586206896,0.00022214112628318736,1.0,1.0
2016-12-02,0.04349457178364006,0.010344827586206896,0.0068214697267584305,0.9999999850078167,0.9967087218869994
2016-12-05,0.20879402001726524,0.013793103448275862,0.0038535267074761843,1.0,1.0
2016-12-06,0.27968134428813063,0.017241379310344827,0.020228612084240063,1.0,1.0
2016-12-07,0.12941626819767013,0.017241379310344827,0.0003962308147685725,1.0,1.0
2016-12-09,0.03447841422775965,0.010344827586206896,0.33358676340599974,1.0,1.0
2016-12-12,0.030704900281809812,0.013793103448275862,0.002334185879586579,1.0,1.0
2016-12-13,0.036559722142290654,0.013793103448275862,0.00025978908041354644,0.9999999927578216,0.9915254237288136
2016-12-14,0.1501673883920973,0.02413793103448276,0.2248951181841432,1.0,0.9984832213996735
2016-12-15,0.26116591952279966,0.017241379310344827,0.0007699457029755238,1.0,1.0
2016-12-16,0.5688398323787051,0.017241379310344827,0.006334179307640528,1.0,1.0
2016-12-19,0.2889109422713478,0.017241379310344827,0.0038795460438753025,1.0,1.0
